z,video_time_plateau_start,video_time_plateau_end
0.000,70,73
0.025,76,80
0.055,84,89
0.075,91,95
0.105,100,104
0.125,107,111
0.150,116,120
0.175,124,130
0.200,133,140
0.225,144,149
0.250,153,157
0.280,162,168
0.300,171,175
0.325,178,189
0.350,193,196
0.375,200,205
0.400,207,216
0.375,222,228
0.350,231,234
0.325,236,240
0.300,241,245
0.275,248,253
0.250,254,259
0.225,262,267
0.200,269,273
0.175,275,278
0.150,280,284
0.125,286,289
0.100,292,296
0.070,298,301
0.040,304,310
0.025,311,315
-0.010,316,324
0.030,330,337
0.055,339,343
0.080,346,350
0.100,352,356
0.125,360,363
0.150,367,371
0.175,376,386
0.200,412.5,415.5
0.225,418.5,421.5
0.255,425.5,429.5
0.275,432.5,438.5
0.300,441.5,445.5
0.325,448.5,452.5
0.350,454.5,459.5
0.375,461.5,465.5
0.400,467.5,469.5